site,mg,mg2,cultivar,phenology,date,phenology.num,yield,pd,author
Stoneville,4.7,late4,AG4732,VE,4/1/2012,1,2294.883018,3/25/2012,Salmeron
Stoneville,4.7,late4,AG4732,R1,5/6/2012,4,2294.883018,3/25/2012,Salmeron
Stoneville,4.7,late4,AG4732,R2,5/9/2012,5,2294.883018,3/25/2012,Salmeron
Stoneville,4.7,late4,AG4732,R5,5/29/2012,8,2294.883018,3/25/2012,Salmeron
Stoneville,4.7,late4,AG4732,R6,6/22/2012,9,2294.883018,3/25/2012,Salmeron
Stoneville,4.7,late4,AG4732,R7,7/19/2012,10,2294.883018,3/25/2012,Salmeron
Stoneville,4.7,late4,AG4732,R8,7/29/2012,11,2294.883018,3/25/2012,Salmeron
Stoneville,4.2,early4,42-M1,VE,4/1/2012,1,2664.481449,3/25/2012,Salmeron
Stoneville,4.2,early4,42-M1,R1,5/4/2012,4,2664.481449,3/25/2012,Salmeron
Stoneville,4.2,early4,42-M1,R2,5/7/2012,5,2664.481449,3/25/2012,Salmeron
Stoneville,4.2,early4,42-M1,R5,5/29/2012,8,2664.481449,3/25/2012,Salmeron
Stoneville,4.2,early4,42-M1,R6,6/22/2012,9,2664.481449,3/25/2012,Salmeron
Stoneville,4.2,early4,42-M1,R7,7/18/2012,10,2664.481449,3/25/2012,Salmeron
Stoneville,4.2,early4,42-M1,R8,7/6/2012,11,2664.481449,3/25/2012,Salmeron
Stoneville,4.4,late4,P94Y40,VE,4/1/2012,1,2657.479252,3/25/2012,Salmeron
Stoneville,4.4,late4,P94Y40,R1,5/5/2012,4,2657.479252,3/25/2012,Salmeron
Stoneville,4.4,late4,P94Y40,R2,5/8/2012,5,2657.479252,3/25/2012,Salmeron
Stoneville,4.4,late4,P94Y40,R5,6/1/2012,8,2657.479252,3/25/2012,Salmeron
Stoneville,4.4,late4,P94Y40,R6,6/22/2012,9,2657.479252,3/25/2012,Salmeron
Stoneville,4.4,late4,P94Y40,R7,7/20/2012,10,2657.479252,3/25/2012,Salmeron
Stoneville,4.4,late4,P94Y40,R8,7/29/2012,11,2657.479252,3/25/2012,Salmeron
Stoneville,6.6,late6,P96M60,VE,4/1/2012,1,3781.300093,3/25/2012,Salmeron
Stoneville,6.6,late6,P96M60,R1,5/7/2012,4,3781.300093,3/25/2012,Salmeron
Stoneville,6.6,late6,P96M60,R2,5/9/2012,5,3781.300093,3/25/2012,Salmeron
Stoneville,6.6,late6,P96M60,R5,6/17/2012,8,3781.300093,3/25/2012,Salmeron
Stoneville,6.6,late6,P96M60,R6,7/9/2012,9,3781.300093,3/25/2012,Salmeron
Stoneville,6.6,late6,P96M60,R7,8/17/2012,10,3781.300093,3/25/2012,Salmeron
Stoneville,6.6,late6,P96M60,R8,9/2/2012,11,3781.300093,3/25/2012,Salmeron
Stoneville,6.2,early6,6202-4,VE,4/1/2012,1,3104.899292,3/25/2012,Salmeron
Stoneville,6.2,early6,6202-4,R1,5/5/2012,4,3104.899292,3/25/2012,Salmeron
Stoneville,6.2,early6,6202-4,R2,5/8/2012,5,3104.899292,3/25/2012,Salmeron
Stoneville,6.2,early6,6202-4,R5,6/18/2012,8,3104.899292,3/25/2012,Salmeron
Stoneville,6.2,early6,6202-4,R6,7/1/2012,9,3104.899292,3/25/2012,Salmeron
Stoneville,6.2,early6,6202-4,R7,8/10/2012,10,3104.899292,3/25/2012,Salmeron
Stoneville,6.2,early6,6202-4,R8,9/2/2012,11,3104.899292,3/25/2012,Salmeron
Stoneville,7,early7,HBKR7028,VE,4/1/2012,1,5036.714172,3/25/2012,Salmeron
Stoneville,7,early7,HBKR7028,R1,5/6/2012,4,5036.714172,3/25/2012,Salmeron
